,contained_dist_c,contained_priority,contained_table,decl,ra,source_id
0,83.9635,4,26m_sources,-33.9144,51.9223,5053621836606796928
1,97.1042,4,26m_sources,-33.7852,51.584999999999994,5053301191528039680
2,130.13,4,26m_sources,-33.8064,51.8923,5053626543890906624
3,142.425,4,26m_sources,-33.81529999999999,51.79780000000001,5053625616177975040
4,181.93,4,26m_sources,-33.80369999999999,51.964,5053623417154756352
5,182.65,4,26m_sources,-33.976699999999994,51.57719999999999,5053247624695931392
6,192.851,4,26m_sources,-33.7982,51.8549,5053626440811693440
7,219.46,4,26m_sources,-33.7384,51.646699999999996,5053674097768814976
8,229.093,4,26m_sources,-33.97689999999999,51.96530000000001,5053609707619153920
9,249.484,4,26m_sources,-33.7277,51.721500000000006,5053675403438870144
10,263.676,4,26m_sources,-33.9606,52.006399999999985,5053609638899674880
11,272.543,4,26m_sources,-33.88719999999999,51.75940000000001,5053624207428706560
12,291.965,4,26m_sources,-33.9211,51.75520000000001,5053624035630059904
13,303.679,4,26m_sources,-33.829299999999996,51.766400000000004,5053625478739023616
14,306.265,4,26m_sources,-33.96309999999999,51.8664,5053620217402371584
15,330.235,4,26m_sources,-33.8364,51.88250000000001,5053626062854615168
16,331.773,4,26m_sources,-33.7831,51.898700000000005,5053626578250643200
17,346.288,4,26m_sources,-33.7939,51.6934,5053672551580588800
18,370.997,4,26m_sources,-33.94799999999999,51.59519999999999,5053296071927028352
19,374.88,4,26m_sources,-33.9731,51.9055,5053619981180928384
20,382.511,4,26m_sources,-33.8736,51.6755,5053249858078917248
21,390.904,4,26m_sources,-33.9513,51.7595,5053248414969953792
22,416.939,4,26m_sources,-34.008199999999995,51.648599999999995,5053248037012838272
23,425.151,4,26m_sources,-33.9435,51.9346,5053621596088629376
24,429.065,4,26m_sources,-34.0856,51.848200000000006,5053232162813706368
25,444.545,4,26m_sources,-33.7989,51.969500000000004,5053629292670016768
26,446.859,4,26m_sources,-33.763299999999994,51.8792,5053626853128550272
27,450.716,4,26m_sources,-33.8038,51.900800000000004,5053626475171429120
28,479.874,4,26m_sources,-33.8775,51.6809,5053249858078916992
29,485.308,4,26m_sources,-33.8856,51.72800000000001,5053624928983213056
30,527.26,4,26m_sources,-34.0451,51.923700000000004,5053607474236163584
31,530.986,4,26m_sources,-33.7773,51.6867,5053672998257186688
32,535.602,4,26m_sources,-33.8602,51.95530000000001,5053622420722345856
33,597.423,4,26m_sources,-33.862,51.7184,5053625238220858240
34,652.393,4,26m_sources,-34.11889999999999,51.839499999999994,5053231819216324736
35,660.337,4,26m_sources,-33.8465,51.80029999999999,5053624752887835392
36,661.97,4,26m_sources,-34.028499999999994,51.87520000000001,5053607611675118976
37,702.241,4,26m_sources,-34.0157,51.66629999999999,5053247968293415168
38,773.546,4,26m_sources,-33.843599999999995,51.802900000000015,5053624757184516992
39,799.779,4,26m_sources,-33.9501,51.915000000000006,5053620118619880704
40,847.005,4,26m_sources,-33.7854,51.74940000000001,5053672792098755712
41,894.224,4,26m_sources,-33.8476,51.8445,5053625989838416768
42,931.461,4,26m_sources,-33.9465,51.777699999999996,5053623726392417920
43,958.896,4,26m_sources,-34.0314,51.63020000000001,5053246525184352512
44,968.158,4,26m_sources,-33.7712,51.8428,5053627196725936896
45,971.969,4,26m_sources,-33.7739,51.64450000000001,5053673410574049792
46,981.816,4,26m_sources,-34.0017,51.64,5053248037012838528
47,1063.47,4,26m_sources,-34.005799999999994,51.973200000000006,5053607955272498176
48,1180.39,4,26m_sources,-34.0068,51.6416,5053248037012838784
49,1214.93,4,26m_sources,-33.85929999999999,51.7434,5053625066422165120
50,1246.03,4,26m_sources,-34.0363,51.90849999999999,5053607646034856064
51,1280.91,4,26m_sources,-33.7973,51.6216,5053673273135097856
52,1341.09,4,26m_sources,-33.95689999999999,51.8366,5053620599656220928
53,1372.23,4,26m_sources,-33.9123,51.84349999999999,5053621286850986752
54,1384.22,4,26m_sources,-33.9343,51.6841,5053249377042582656
55,1444.65,4,26m_sources,-33.788599999999995,51.6814,5053672620300066304
56,1563.19,4,26m_sources,-33.7441,51.89589999999999,5053626990567502208
57,1649.23,4,26m_sources,-33.811699999999995,51.8233,5053627059286985216
58,1903.85,4,26m_sources,-33.9263,51.6996,5053249480121796736
